,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Geraldton,0,AU,1604676761,88,-28.77,114.6,19.0,0.5
1,Cidreira,3,BR,1604676761,70,-30.18,-50.21,21.45,6.68
2,Bredasdorp,100,ZA,1604676761,59,-34.53,20.04,17.0,5.1
3,Saint-Pierre,75,RE,1604676761,69,-21.34,55.48,24.0,8.7
4,Busselton,1,AU,1604676761,71,-33.65,115.33,16.11,1.34
5,Talnakh,0,RU,1604676761,84,69.49,88.4,-17.0,4.0
6,Avarua,88,CK,1604676761,94,-21.21,-159.78,21.0,1.0
7,Hasaki,75,JP,1604676761,100,35.73,140.83,11.0,0.5
8,São Filipe,68,CV,1604676762,78,14.9,-24.5,25.44,2.85
9,Tabas,32,IR,1604676762,14,33.6,56.92,20.0,2.1
10,Tasiilaq,20,GL,1604676762,53,65.61,-37.64,-3.0,2.1
11,Cape Town,75,ZA,1604676667,87,-33.93,18.42,18.33,4.1
12,Port Alfred,100,ZA,1604676762,69,-33.59,26.89,20.23,8.89
13,Guatire,30,VE,1604676762,76,10.48,-66.54,23.89,1.73
14,Shingū,97,JP,1604676762,80,33.73,135.98,15.51,1.76
15,Philadelphia,1,US,1604676586,82,39.95,-75.16,15.56,1.5
16,Mataura,5,NZ,1604676763,95,-46.19,168.86,4.43,1.17
17,Hilo,90,US,1604676643,78,19.73,-155.09,23.0,3.6
18,Mana,8,GF,1604676763,66,5.66,-53.78,29.77,3.55
19,Esperance,99,AU,1604676763,76,-33.87,121.9,12.0,5.1
20,Normandin,100,CA,1604676763,86,48.83,-72.53,7.0,2.1
21,Albany,13,US,1604676573,45,42.6,-73.97,16.67,0.45
22,Punta Arenas,40,CL,1604676725,50,-53.15,-70.92,11.0,9.3
23,Ishigaki,0,JP,1604676764,87,24.34,124.16,26.56,7.51
24,Sitka,90,US,1604676764,69,57.05,-135.33,1.0,3.1
25,Konde,14,TZ,1604676764,76,-4.95,39.75,25.66,2.87
26,Yellowknife,90,CA,1604676565,92,62.46,-114.35,-11.67,2.6
27,Whitehorse,75,CA,1604676605,70,60.72,-135.05,-17.0,5.7
28,Hermanus,100,ZA,1604676764,75,-34.42,19.23,16.67,2.24
29,Mount Gambier,40,AU,1604676685,100,-37.83,140.77,8.0,2.6
30,Rikitea,54,PF,1604676764,85,-23.12,-134.97,22.02,8.86
31,Bambous Virieux,75,MU,1604676765,73,-20.34,57.76,23.33,4.1
